Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
5652,19740101,20010930,70,52.1736,11.8488,Wörmlitz,Sachsen-Anhalt,Frei
5653,18990101,20051231,465,49.2553,10.2469,Wörnitz,Bayern,Frei
5654,19480701,20071231,464,49.2178,10.2296,Wörnitz-Bottenweiler,Bayern,Frei
5655,19690101,20021231,125,51.9268,12.5037,Wörpen,Sachsen-Anhalt,Frei
5656,19310101,19980430,215,49.8395,8.1116,Wörrstadt,Rheinland-Pfalz,Frei
5657,19510101,20051231,505,48.25,11.95,Wörth/Oberbayern -Hörlkofen,Bayern,Frei
5658,19310101,20241030,326,48.996,12.3475,Wörth/Oberpfalz -Kiefenholz,Bayern,Frei
5659,19510101,20041231,102,49.0348,8.2866,Wörth/Rhein-Maximiliansau,Rheinland-Pfalz,Frei
5660,19450401,20011231,220,51.5556,10.7245,Woffleben,Thüringen,Frei
5661,19510101,20151231,15,54.386,9.2947,Wohlde,Schleswig-Holstein,Frei
5662,19510101,20220101,222,50.9305,8.9474,Wohratal,Hessen,Frei
5663,19510101,19901231,118,53.4618,13.6099,Woldegk,Mecklenburg-Vorpommern,Frei
5664,19580101,20241030,296,48.2953,8.2391,Wolfach,Baden-Württemberg,Frei
5665,19791001,20041231,677,47.818,9.797,Wolfegg,Baden-Württemberg,Frei
5666,19310101,20240201,623,47.8081,9.7907,Wolfegg (Neckenfurt),Baden-Württemberg,Frei
5667,19690101,20061231,83,51.679,12.2834,Wolfen,Sachsen-Anhalt,Frei
5668,19510101,20241030,80,52.1781,10.5365,Wolfenbüttel,Niedersachsen,Frei
5669,19310101,19701230,312,50.3833,8.3167,Wolfenhausen,Hessen,Frei
5670,19860101,19971231,354,50.623,12.4834,Kirchberg-Wolfersgrün,Sachsen,Frei
5671,19410101,19840331,310,51.3,9.15,Wolfhagen-Leckringhausen,Hessen,Frei
5672,19510101,19920229,250,51.3667,9.1333,Wolfhagen-Viesebeck,Hessen,Frei
5673,19710101,20241030,302,51.3326,9.2503,Wolfhagen-Wenigenhasungen,Hessen,Frei
5674,19410101,20051231,570,47.9274,11.4292,Wolfratshausen,Bayern,Frei
5675,19610101,19810331,56,52.4411,10.7587,Wolfsburg,Niedersachsen,Frei
5676,18910501,20240101,82,52.3962,10.6892,Wolfsburg (Südwest),Niedersachsen,Frei
5677,19690101,19960930,330,50.9294,10.2624,Wolfsburg-Unkeroda,Thüringen,Frei
5678,19410101,20101109,380,48.6535,9.2976,Wolfschlugen,Baden-Württemberg,Frei
5679,19410101,20051231,405,49.1079,11.9721,Wolfsegg,Bayern,Frei
5680,19410101,20180630,198,49.8722,8.0385,Wolfsheim,Rheinland-Pfalz,Frei
5681,19310101,19981231,200,49.5811,7.6234,Wolfstein/Pfalz,Rheinland-Pfalz,Frei
5682,19510101,20241030,16,54.0477,13.7676,Wolgast,Mecklenburg-Vorpommern,Frei
5683,19020101,20061231,205,51.4195,10.7379,Wolkramshausen,Thüringen,Frei
5684,19850101,20241030,40,52.2813,12.458,Wollin,Brandenburg,Frei
5685,19510101,20061231,70,51.9442,11.4903,Wolmirsleben,Sachsen-Anhalt,Frei
5686,19471201,20021231,45,52.2475,11.6371,Wolmirstedt,Sachsen-Anhalt,Frei
5687,19510101,20051231,425,48.5943,11.633,Wolnzach,Bayern,Frei
5688,19510101,20241030,881,47.7004,8.1057,Dachsberg-Wolpadingen,Baden-Württemberg,Frei
5689,19710101,19980531,360,49.9067,6.4454,Wolsfeld-Wolsfelderberg,Rheinland-Pfalz,Frei
5690,19410101,20051231,420,49.977,11.298,Wonsees,Bayern,Frei
